beta,delta,mape
0.3016,0.5228,0.31774666905403137
0.3016,0.5544,0.4406939148902893
0.3016,0.5860,0.5845664739608765
0.3016,0.6176,0.7543566823005676
0.3016,0.6492,0.923997163772583
0.3016,0.6808,1.2033675909042358
0.3016,0.7124,1.5381759405136108
0.3016,0.7440,1.8945388793945312
0.3016,0.7756,2.102989912033081
0.3016,0.8072,2.2746522426605225
0.3016,0.8388,2.456266403198242
0.3016,0.8704,2.506293535232544
0.3016,0.9020,2.5770010948181152
0.3016,0.9336,2.478283405303955
0.3016,0.9652,2.3985960483551025
0.3016,0.9968,2.629473924636841
0.3016,1.0284,2.6730363368988037
0.3016,1.0600,3.161081075668335
0.3016,1.0916,3.6273744106292725
0.3016,1.1232,4.7752532958984375
0.3016,1.1548,4.52801513671875
0.3016,1.1864,5.244855880737305
0.3016,1.2180,6.439845561981201
0.3332,0.2700,0.6546859741210938
0.3332,0.3016,0.5500466823577881
0.3332,0.3332,0.37112927436828613
0.3332,0.3648,0.2194288671016693
0.3332,0.3964,0.17465582489967346
0.3332,0.4280,0.1145879253745079
0.3332,0.4596,0.12622271478176117
0.3332,0.4912,0.17922456562519073
0.3332,0.5228,0.23152102530002594
0.3332,0.5544,0.2999758720397949
0.3332,0.5860,0.3469734191894531
0.3332,0.6176,0.39196041226387024
0.3332,0.6492,0.45421499013900757
0.3332,0.6808,0.5839039087295532
0.3332,0.7124,0.7685371041297913
0.3332,0.7440,0.8900463581085205
0.3332,0.7756,1.0284144878387451
0.3332,0.8072,1.1797215938568115
0.3332,0.8388,1.2914814949035645
0.3332,0.8704,1.532945990562439
0.3332,0.9020,1.7088861465454102
0.3332,0.9336,1.848397135734558
0.3332,0.9652,2.030628204345703
0.3332,0.9968,2.191812038421631
0.3332,1.0284,2.374276638031006
0.3332,1.0600,2.4311635494232178
0.3332,1.0916,2.693934202194214
0.3332,1.1232,3.430753707885742
0.3332,1.1548,3.760622024536133
0.3332,1.1864,6.015356063842773
0.3332,1.2180,9.703438758850098
0.3648,0.2700,0.5238837003707886
0.3648,0.3016,0.33187779784202576
0.3648,0.3332,0.31254181265830994
0.3648,0.3648,0.23514141142368317
0.3648,0.3964,0.11831047385931015
0.3648,0.4280,0.07642926275730133
0.3648,0.4596,0.05992475152015686
0.3648,0.4912,0.07267618924379349
0.3648,0.5228,0.09840267896652222
0.3648,0.5544,0.20856048166751862
0.3648,0.5860,0.17632144689559937
0.3648,0.6176,0.15087281167507172
0.3648,0.6492,0.22892554104328156
